data_label,business_unit,credibility,respect,fairness,pride,camaraderie,leadership,development,wellbeing,satisfaction,n_respondents,culture_index,headcount,region,revenue_musd,return_on_sales_pct,culture_index_sd,culture_index_se,culture_ci_low,culture_ci_high
SYNTHETIC DATA,BU11,3.1132748357963878,3.061884236453202,3.1535765599343186,3.2796336206896552,3.1486658456486043,3.094647988505747,3.2286124794745485,3.0948019293924465,3.2769396551724137,232,3.1468871869868638,238,EMEA,106.1,9.85,0.6262195918621528,0.04111333039714531,3.066305059408459,3.2274693145652686
SYNTHETIC DATA,BU12,3.731845238095238,3.67514880952381,3.676488095238095,3.8847222222222224,3.6838293650793648,3.6688988095238098,3.836269841269841,3.7237599206349206,3.94375,120,3.735120287698413,126,EMEA,194.5,8.21,0.6533756576731604,0.05964476437206055,3.618216549529174,3.8520240258676517
SYNTHETIC DATA,BU13,3.187239583333333,3.242857142857143,3.2015625,3.4396205357142855,3.2282366071428568,3.175558035714286,3.460863095238095,3.225483630952381,3.4072916666666666,160,3.2701776413690475,172,EMEA,194.7,9.65,0.6483131861486975,0.05125365763376525,3.1697204724068677,3.3706348103312274
SYNTHETIC DATA,BU14,3.1888969873663755,3.238095238095238,3.19290573372206,3.3524862325882734,3.2162698412698414,3.1996679624230646,3.3859086491739556,3.2912455458373824,3.434807256235828,147,3.2581845238095237,151,EMEA,155.3,7.22,0.590002524472727,0.04866258804669825,3.1628058512379953,3.353563196381052
SYNTHETIC DATA,BU15,3.570161144305631,3.536234836139779,3.578829440521456,3.731214919427847,3.5776842295853704,3.597931377874344,3.7637153720803913,3.569301104472207,3.7734474017743977,263,3.6156340530508784,270,EMEA,131.2,9.07,0.5972184761622071,0.036826068851186826,3.543454958102552,3.6878131479992047
SYNTHETIC DATA,BU16,3.6898561507936503,3.69224537037037,3.689732142857143,3.916914682539683,3.7348958333333337,3.688822751322751,3.9372023809523813,3.6785714285714284,3.8125,144,3.7535300925925927,149,EMEA,129.1,7.39,0.5722468153242177,0.04768723461035148,3.660063112756304,3.8469970724288816
SYNTHETIC DATA,BU17,3.8764285714285713,3.84187074829932,3.9008503401360546,4.046326530612245,3.881802721088435,3.8626530612244894,4.089170068027211,3.8246258503401362,3.9804761904761907,175,3.915465986394558,183,APAC,184.3,13.01,0.5653271032879436,0.042734712134412114,3.83170595061111,3.9992260221780054
SYNTHETIC DATA,BU18,3.303282828282828,3.3024891774891776,3.2165873015873014,3.455079365079365,3.33524531024531,3.2987373737373735,3.4317748917748916,3.371717171717172,3.492929292929293,165,3.3393641774891774,170,EMEA,179.6,6.69,0.6897001597480982,0.053693084615192815,3.2341257316433993,3.4446026233349554
SYNTHETIC DATA,BU19,3.441537761601456,3.447793448589627,3.4588262056414925,3.665984228086139,3.407794965119806,3.429974218986958,3.5929632999696692,3.422838944494995,3.6284501061571124,157,3.4834641340612675,160,EMEA,198.3,5.97,0.6569032839066746,0.052426589524962784,3.3807080185923404,3.5862202495301947
SYNTHETIC DATA,BU20,3.22859796784956,3.2775629360024263,3.21333788292387,3.377653927813163,3.198096754625417,3.176599939338793,3.319987867758568,3.201209432817713,3.3972310969116077,314,3.2491308386411886,325,AMER,41.1,7.81,0.6388465250435552,0.03605219511326316,3.1784685362191927,3.3197931410631845
SYNTHETIC DATA,BU21,3.612787356321839,3.5899356869184453,3.5914408866995076,3.7369321291735087,3.594485495347564,3.6115216201423097,3.7671319102353586,3.5832512315270937,3.7830459770114944,174,3.6359357895457034,178,EMEA,127.6,7.21,0.6605500350337206,0.050076168924503964,3.5377864984536758,3.734085080637731
SYNTHETIC DATA,BU22,3.6300935797204454,3.5911217720919213,3.5724650556740105,3.7571961620469083,3.695421701018716,3.5978441127694856,3.7166785122009003,3.598513385453684,3.734583333333333,201,3.6449167851220086,205,EMEA,149.4,9.54,0.6936307246672156,0.048924939066884304,3.5490239045509155,3.7408096656931016
SYNTHETIC DATA,BU23,3.2028242147923,3.151236913204998,3.114530563998649,3.315222897669706,3.1430260047281324,3.1909194528875378,3.2750253292806484,3.130530226274907,3.317966903073286,282,3.1904144503546097,291,EMEA,242.5,4.42,0.6048389031214997,0.036017632538101564,3.119819890579931,3.2610090101292886
SYNTHETIC DATA,BU24,3.5513157894736844,3.5064849624060153,3.530701754385965,3.712593984962406,3.483364661654135,3.519674185463659,3.7225814536340853,3.59859022556391,3.757456140350877,190,3.5781633771929826,193,AMER,159.6,5.83,0.5627989978865213,0.04082973065523859,3.498137105108715,3.6581896492772503
