data_label,respondent_id,department,tenure_band,location,role_level,business_unit,construct,score
SYNTHETIC DATA,R00074,Engineering,1-3 years,Rostock,Manager,BU06,credibility,2.75
SYNTHETIC DATA,R00075,Engineering,3-5 years,Pune,Individual contributor,BU11,credibility,4.0
SYNTHETIC DATA,R00076,Service,5-10 years,Aarhus,Individual contributor,BU10,credibility,4.5
SYNTHETIC DATA,R00077,Operations,3-5 years,Chennai,Individual contributor,BU03,credibility,3.5
SYNTHETIC DATA,R00078,Operations,3-5 years,Rostock,Individual contributor,BU15,credibility,4.0
SYNTHETIC DATA,R00079,Supply Chain,3-5 years,Remote,Team lead,BU08,credibility,2.875
SYNTHETIC DATA,R00080,Supply Chain,5-10 years,Aarhus,Individual contributor,BU20,credibility,3.5
SYNTHETIC DATA,R00081,Operations,3-5 years,Chennai,Team lead,BU19,credibility,3.5
SYNTHETIC DATA,R00082,Engineering,5-10 years,Remote,Manager,BU20,credibility,3.375
SYNTHETIC DATA,R00083,Sales,3-5 years,Remote,Team lead,BU09,credibility,4.375
SYNTHETIC DATA,R00084,Supply Chain,3-5 years,Hamburg,Individual contributor,BU04,credibility,2.875
SYNTHETIC DATA,R00085,Service,5-10 years,Remote,Individual contributor,BU23,credibility,3.5714285714285716
SYNTHETIC DATA,R00087,HR,5-10 years,Chennai,Senior manager,BU06,credibility,3.75
SYNTHETIC DATA,R00088,Engineering,10+ years,Hamburg,Manager,BU20,credibility,3.5714285714285716
SYNTHETIC DATA,R00089,Engineering,10+ years,Aarhus,Individual contributor,BU04,credibility,3.375
SYNTHETIC DATA,R00090,HR,10+ years,Remote,Team lead,BU17,credibility,4.25
SYNTHETIC DATA,R00092,Supply Chain,<1 year,Pune,Manager,BU17,credibility,3.5
SYNTHETIC DATA,R00093,Engineering,3-5 years,Remote,Individual contributor,BU23,credibility,3.375
SYNTHETIC DATA,R00094,Engineering,5-10 years,Aarhus,Individual contributor,BU14,credibility,3.125
SYNTHETIC DATA,R00095,Engineering,10+ years,Pune,Individual contributor,BU12,credibility,3.625
SYNTHETIC DATA,R00096,Supply Chain,5-10 years,Remote,Individual contributor,BU21,credibility,3.0
SYNTHETIC DATA,R00097,Engineering,1-3 years,Rostock,Senior manager,BU03,credibility,2.125
SYNTHETIC DATA,R00098,Engineering,10+ years,Hamburg,Individual contributor,BU04,credibility,4.75
SYNTHETIC DATA,R00099,Operations,<1 year,Chennai,Individual contributor,BU17,credibility,3.875
SYNTHETIC DATA,R00100,Sales,3-5 years,Rostock,Senior manager,BU09,credibility,3.625
SYNTHETIC DATA,R00101,HR,10+ years,Chennai,Individual contributor,BU19,credibility,3.25
SYNTHETIC DATA,R00102,Sales,<1 year,Pune,Team lead,BU14,credibility,3.5
SYNTHETIC DATA,R00103,Engineering,5-10 years,Pune,Manager,BU06,credibility,3.125
SYNTHETIC DATA,R00104,Engineering,<1 year,Pune,Manager,BU09,credibility,4.625
SYNTHETIC DATA,R00105,Operations,5-10 years,Aarhus,Individual contributor,BU08,credibility,4.375
SYNTHETIC DATA,R00106,Engineering,3-5 years,Remote,Individual contributor,BU24,credibility,3.7142857142857144
SYNTHETIC DATA,R00107,Engineering,5-10 years,Pune,Individual contributor,BU04,credibility,4.75
SYNTHETIC DATA,R00108,Sales,1-3 years,Rostock,Manager,BU07,credibility,3.75
SYNTHETIC DATA,R00109,Operations,5-10 years,Chennai,Individual contributor,BU20,credibility,3.5
SYNTHETIC DATA,R00110,Engineering,10+ years,Aarhus,Manager,BU07,credibility,3.0
SYNTHETIC DATA,R00111,Sales,5-10 years,Pune,Individual contributor,BU01,credibility,2.875
SYNTHETIC DATA,R00112,Engineering,5-10 years,Hamburg,Manager,BU16,credibility,1.75
SYNTHETIC DATA,R00113,Supply Chain,5-10 years,Hamburg,Team lead,BU03,credibility,2.75
SYNTHETIC DATA,R00114,Operations,<1 year,Aarhus,Individual contributor,BU18,credibility,2.5
SYNTHETIC DATA,R00115,Service,1-3 years,Rostock,Individual contributor,BU04,credibility,4.625
SYNTHETIC DATA,R00116,Supply Chain,1-3 years,Hamburg,Individual contributor,BU09,credibility,4.125
SYNTHETIC DATA,R00117,Operations,1-3 years,Aarhus,Individual contributor,BU01,credibility,3.5
SYNTHETIC DATA,R00118,Finance,1-3 years,Remote,Individual contributor,BU11,credibility,3.625
SYNTHETIC DATA,R00119,Operations,3-5 years,Pune,Team lead,BU10,credibility,3.625
SYNTHETIC DATA,R00120,HR,1-3 years,Rostock,Individual contributor,BU23,credibility,4.125
SYNTHETIC DATA,R00121,Engineering,1-3 years,Rostock,Team lead,BU15,credibility,4.625
SYNTHETIC DATA,R00122,Operations,1-3 years,Chennai,Team lead,BU01,credibility,4.125
SYNTHETIC DATA,R00123,Engineering,10+ years,Remote,Team lead,BU15,credibility,3.75
SYNTHETIC DATA,R00124,Supply Chain,<1 year,Aarhus,Individual contributor,BU15,credibility,4.25
SYNTHETIC DATA,R00125,Operations,5-10 years,Rostock,Individual contributor,BU11,credibility,4.25
SYNTHETIC DATA,R00126,Supply Chain,3-5 years,Aarhus,Individual contributor,BU12,credibility,2.375
SYNTHETIC DATA,R00127,Operations,3-5 years,Aarhus,Individual contributor,BU24,credibility,4.625
SYNTHETIC DATA,R00128,HR,3-5 years,Aarhus,Team lead,BU07,credibility,3.125
SYNTHETIC DATA,R00129,Service,10+ years,Chennai,Senior manager,BU20,credibility,3.125
SYNTHETIC DATA,R00130,Finance,5-10 years,Hamburg,Individual contributor,BU02,credibility,4.125
SYNTHETIC DATA,R00131,Service,1-3 years,Pune,Individual contributor,BU13,credibility,2.625
SYNTHETIC DATA,R00132,Engineering,3-5 years,Chennai,Manager,BU11,credibility,4.375
SYNTHETIC DATA,R00133,Operations,10+ years,Rostock,Senior manager,BU04,credibility,4.5
SYNTHETIC DATA,R00134,Sales,5-10 years,Remote,Individual contributor,BU11,credibility,3.375
SYNTHETIC DATA,R00135,Service,10+ years,Aarhus,Individual contributor,BU24,credibility,4.0
SYNTHETIC DATA,R00136,Operations,1-3 years,Pune,Individual contributor,BU17,credibility,4.25
SYNTHETIC DATA,R00137,Service,5-10 years,Aarhus,Individual contributor,BU16,credibility,4.0
SYNTHETIC DATA,R00138,Engineering,3-5 years,Hamburg,Team lead,BU15,credibility,3.5714285714285716
SYNTHETIC DATA,R00139,Operations,<1 year,Chennai,Team lead,BU23,credibility,2.375
SYNTHETIC DATA,R00141,Sales,10+ years,Pune,Individual contributor,BU13,credibility,2.5
SYNTHETIC DATA,R00142,Engineering,3-5 years,Pune,Individual contributor,BU03,credibility,3.75
SYNTHETIC DATA,R00143,Supply Chain,5-10 years,Hamburg,Individual contributor,BU20,credibility,2.375
SYNTHETIC DATA,R00144,Engineering,10+ years,Aarhus,Team lead,BU16,credibility,3.5
SYNTHETIC DATA,R00145,Sales,5-10 years,Remote,Team lead,BU11,credibility,3.25
SYNTHETIC DATA,R00146,Engineering,3-5 years,Hamburg,Team lead,BU22,credibility,2.375
SYNTHETIC DATA,R00147,Operations,1-3 years,Aarhus,Individual contributor,BU15,credibility,4.75
SYNTHETIC DATA,R00148,Service,10+ years,Rostock,Manager,BU21,credibility,4.5
SYNTHETIC DATA,R00149,Supply Chain,3-5 years,Rostock,Individual contributor,BU10,credibility,4.625
SYNTHETIC DATA,R00150,Service,10+ years,Aarhus,Team lead,BU04,credibility,3.875
SYNTHETIC DATA,R00151,Operations,10+ years,Pune,Individual contributor,BU09,credibility,3.7142857142857144
SYNTHETIC DATA,R00152,Service,1-3 years,Hamburg,Individual contributor,BU04,credibility,4.0
SYNTHETIC DATA,R00153,Sales,10+ years,Aarhus,Individual contributor,BU23,credibility,3.875
SYNTHETIC DATA,R00155,Service,1-3 years,Pune,Manager,BU14,credibility,4.75
SYNTHETIC DATA,R00156,Supply Chain,3-5 years,Hamburg,Individual contributor,BU20,credibility,3.142857142857143
SYNTHETIC DATA,R00157,Engineering,1-3 years,Rostock,Individual contributor,BU02,credibility,2.375
SYNTHETIC DATA,R00158,Engineering,3-5 years,Pune,Individual contributor,BU13,credibility,3.25
SYNTHETIC DATA,R00159,Engineering,5-10 years,Pune,Individual contributor,BU19,credibility,2.625
SYNTHETIC DATA,R00160,Operations,3-5 years,Hamburg,Individual contributor,BU09,credibility,3.625
SYNTHETIC DATA,R00161,Engineering,5-10 years,Hamburg,Team lead,BU11,credibility,1.625
SYNTHETIC DATA,R00162,Engineering,5-10 years,Rostock,Individual contributor,BU14,credibility,2.5
SYNTHETIC DATA,R00164,Operations,10+ years,Remote,Individual contributor,BU05,credibility,4.125
SYNTHETIC DATA,R00165,Operations,5-10 years,Aarhus,Individual contributor,BU14,credibility,4.375
SYNTHETIC DATA,R00166,Supply Chain,10+ years,Rostock,Individual contributor,BU05,credibility,4.5
SYNTHETIC DATA,R00167,Supply Chain,5-10 years,Chennai,Team lead,BU08,credibility,4.375
SYNTHETIC DATA,R00168,Engineering,10+ years,Pune,Team lead,BU01,credibility,3.25
SYNTHETIC DATA,R00169,Operations,<1 year,Pune,Individual contributor,BU08,credibility,4.375
SYNTHETIC DATA,R00170,Supply Chain,1-3 years,Hamburg,Senior manager,BU11,credibility,3.0
SYNTHETIC DATA,R00171,Operations,5-10 years,Aarhus,Individual contributor,BU01,credibility,4.125
SYNTHETIC DATA,R00172,Engineering,1-3 years,Hamburg,Individual contributor,BU20,credibility,2.625
SYNTHETIC DATA,R00173,Service,1-3 years,Hamburg,Individual contributor,BU14,credibility,3.25
SYNTHETIC DATA,R00174,Sales,1-3 years,Chennai,Team lead,BU11,credibility,3.75
SYNTHETIC DATA,R00175,Engineering,3-5 years,Pune,Individual contributor,BU24,credibility,3.25
SYNTHETIC DATA,R00176,Engineering,<1 year,Hamburg,Individual contributor,BU22,credibility,3.5
SYNTHETIC DATA,R00177,Supply Chain,1-3 years,Rostock,Team lead,BU20,credibility,3.142857142857143
SYNTHETIC DATA,R00178,Supply Chain,3-5 years,Rostock,Individual contributor,BU04,credibility,1.125
SYNTHETIC DATA,R00179,Supply Chain,3-5 years,Hamburg,Individual contributor,BU23,credibility,3.625
SYNTHETIC DATA,R00181,Service,1-3 years,Rostock,Individual contributor,BU09,credibility,2.5
SYNTHETIC DATA,R00182,Supply Chain,10+ years,Aarhus,Individual contributor,BU17,credibility,4.5
SYNTHETIC DATA,R00183,Finance,3-5 years,Chennai,Individual contributor,BU09,credibility,4.25
SYNTHETIC DATA,R00184,Engineering,3-5 years,Hamburg,Individual contributor,BU11,credibility,2.625
SYNTHETIC DATA,R00185,Operations,3-5 years,Chennai,Team lead,BU03,credibility,3.75
SYNTHETIC DATA,R00186,Service,5-10 years,Remote,Individual contributor,BU03,credibility,2.875
SYNTHETIC DATA,R00187,Engineering,1-3 years,Pune,Individual contributor,BU13,credibility,4.625
SYNTHETIC DATA,R00188,Operations,5-10 years,Pune,Individual contributor,BU01,credibility,2.5714285714285716
SYNTHETIC DATA,R00189,Sales,3-5 years,Pune,Individual contributor,BU15,credibility,4.125
SYNTHETIC DATA,R00190,Operations,10+ years,Remote,Individual contributor,BU14,credibility,2.0
SYNTHETIC DATA,R00191,Engineering,10+ years,Chennai,Individual contributor,BU23,credibility,2.75
SYNTHETIC DATA,R00192,Service,1-3 years,Pune,Individual contributor,BU02,credibility,2.75
SYNTHETIC DATA,R00193,Engineering,3-5 years,Pune,Individual contributor,BU11,credibility,1.625
SYNTHETIC DATA,R00194,Supply Chain,5-10 years,Aarhus,Individual contributor,BU09,credibility,3.125
SYNTHETIC DATA,R00195,Engineering,5-10 years,Hamburg,Individual contributor,BU13,credibility,4.5
SYNTHETIC DATA,R00196,Finance,5-10 years,Pune,Team lead,BU07,credibility,4.375
SYNTHETIC DATA,R00197,Service,10+ years,Aarhus,Individual contributor,BU10,credibility,4.5
SYNTHETIC DATA,R00198,HR,1-3 years,Hamburg,Individual contributor,BU09,credibility,4.375
SYNTHETIC DATA,R00199,Operations,1-3 years,Pune,Individual contributor,BU16,credibility,3.375
SYNTHETIC DATA,R00200,Supply Chain,<1 year,Remote,Individual contributor,BU23,credibility,2.25
SYNTHETIC DATA,R00201,Engineering,5-10 years,Hamburg,Individual contributor,BU15,credibility,2.375
SYNTHETIC DATA,R00202,Service,3-5 years,Rostock,Manager,BU24,credibility,3.142857142857143
SYNTHETIC DATA,R00203,Finance,5-10 years,Hamburg,Senior manager,BU20,credibility,2.0
SYNTHETIC DATA,R00204,Service,5-10 years,Remote,Individual contributor,BU08,credibility,3.875
SYNTHETIC DATA,R00205,Engineering,3-5 years,Pune,Manager,BU11,credibility,3.375
SYNTHETIC DATA,R00206,Operations,5-10 years,Chennai,Team lead,BU10,credibility,3.75
SYNTHETIC DATA,R00209,Supply Chain,5-10 years,Rostock,Individual contributor,BU09,credibility,3.75
SYNTHETIC DATA,R00210,Service,10+ years,Pune,Individual contributor,BU17,credibility,5.0
SYNTHETIC DATA,R00212,HR,3-5 years,Rostock,Manager,BU19,credibility,3.875
SYNTHETIC DATA,R00213,Supply Chain,10+ years,Hamburg,Manager,BU14,credibility,2.875
SYNTHETIC DATA,R00214,Engineering,1-3 years,Chennai,Individual contributor,BU20,credibility,3.375
SYNTHETIC DATA,R00215,Supply Chain,3-5 years,Pune,Individual contributor,BU10,credibility,4.5
SYNTHETIC DATA,R00216,Operations,5-10 years,Chennai,Individual contributor,BU11,credibility,3.75
SYNTHETIC DATA,R00217,Service,<1 year,Chennai,Individual contributor,BU02,credibility,2.125
SYNTHETIC DATA,R00218,Engineering,3-5 years,Rostock,Team lead,BU07,credibility,4.0
SYNTHETIC DATA,R00219,Supply Chain,1-3 years,Hamburg,Team lead,BU24,credibility,3.125
SYNTHETIC DATA,R00220,Engineering,1-3 years,Remote,Manager,BU01,credibility,3.375
SYNTHETIC DATA,R00221,Engineering,10+ years,Pune,Individual contributor,BU09,credibility,3.625
SYNTHETIC DATA,R00222,Operations,<1 year,Pune,Team lead,BU20,credibility,2.375
SYNTHETIC DATA,R00223,Sales,1-3 years,Remote,Individual contributor,BU04,credibility,4.375
SYNTHETIC DATA,R00224,Finance,3-5 years,Remote,Individual contributor,BU19,credibility,4.5
SYNTHETIC DATA,R00225,Sales,5-10 years,Rostock,Team lead,BU01,credibility,2.625
SYNTHETIC DATA,R00226,Service,5-10 years,Hamburg,Team lead,BU04,credibility,2.875
SYNTHETIC DATA,R00227,Service,10+ years,Chennai,Senior manager,BU24,credibility,2.625
SYNTHETIC DATA,R00228,Operations,5-10 years,Aarhus,Individual contributor,BU06,credibility,2.875
SYNTHETIC DATA,R00229,Engineering,5-10 years,Hamburg,Manager,BU21,credibility,3.625
SYNTHETIC DATA,R00230,Engineering,1-3 years,Hamburg,Individual contributor,BU01,credibility,3.625
SYNTHETIC DATA,R00231,Service,<1 year,Chennai,Individual contributor,BU01,credibility,4.25
SYNTHETIC DATA,R00232,Supply Chain,10+ years,Pune,Team lead,BU11,credibility,3.375
SYNTHETIC DATA,R00233,Engineering,<1 year,Pune,Individual contributor,BU13,credibility,4.625
SYNTHETIC DATA,R00234,Engineering,1-3 years,Remote,Individual contributor,BU10,credibility,4.75
SYNTHETIC DATA,R00235,Supply Chain,5-10 years,Rostock,Individual contributor,BU20,credibility,4.428571428571429
SYNTHETIC DATA,R00236,Operations,10+ years,Remote,Manager,BU09,credibility,4.75
SYNTHETIC DATA,R00237,Operations,1-3 years,Hamburg,Team lead,BU20,credibility,3.875
SYNTHETIC DATA,R00238,Supply Chain,3-5 years,Rostock,Manager,BU23,credibility,3.375
SYNTHETIC DATA,R00239,Operations,5-10 years,Hamburg,Team lead,BU15,credibility,3.0
SYNTHETIC DATA,R00240,HR,3-5 years,Chennai,Individual contributor,BU23,credibility,3.125
SYNTHETIC DATA,R00241,Service,1-3 years,Pune,Manager,BU09,credibility,4.0
SYNTHETIC DATA,R00242,Operations,10+ years,Rostock,Manager,BU20,credibility,3.0
SYNTHETIC DATA,R00243,Engineering,3-5 years,Aarhus,Manager,BU06,credibility,2.2857142857142856
SYNTHETIC DATA,R00244,Supply Chain,3-5 years,Pune,Individual contributor,BU07,credibility,1.25
SYNTHETIC DATA,R00245,Service,<1 year,Rostock,Individual contributor,BU08,credibility,3.125
SYNTHETIC DATA,R00246,Supply Chain,10+ years,Hamburg,Individual contributor,BU10,credibility,3.7142857142857144
SYNTHETIC DATA,R00247,Supply Chain,3-5 years,Remote,Team lead,BU23,credibility,3.625
SYNTHETIC DATA,R00248,Supply Chain,1-3 years,Aarhus,Individual contributor,BU01,credibility,3.0
SYNTHETIC DATA,R00249,Finance,5-10 years,Hamburg,Individual contributor,BU08,credibility,3.125
SYNTHETIC DATA,R00250,Supply Chain,5-10 years,Chennai,Individual contributor,BU08,credibility,4.125
SYNTHETIC DATA,R00251,Engineering,1-3 years,Chennai,Manager,BU15,credibility,3.625
SYNTHETIC DATA,R00252,Service,1-3 years,Hamburg,Team lead,BU15,credibility,3.75
SYNTHETIC DATA,R00253,Engineering,1-3 years,Rostock,Individual contributor,BU09,credibility,3.625
SYNTHETIC DATA,R00254,Service,3-5 years,Pune,Team lead,BU22,credibility,4.125
SYNTHETIC DATA,R00255,Service,10+ years,Pune,Team lead,BU12,credibility,3.5
SYNTHETIC DATA,R00256,Supply Chain,<1 year,Rostock,Team lead,BU01,credibility,3.75
SYNTHETIC DATA,R00257,Finance,<1 year,Aarhus,Individual contributor,BU07,credibility,3.375
SYNTHETIC DATA,R00258,Supply Chain,3-5 years,Remote,Individual contributor,BU17,credibility,4.875
SYNTHETIC DATA,R00259,Service,10+ years,Hamburg,Individual contributor,BU10,credibility,4.571428571428571
SYNTHETIC DATA,R00260,Supply Chain,5-10 years,Hamburg,Manager,BU02,credibility,3.125
SYNTHETIC DATA,R00261,HR,10+ years,Hamburg,Individual contributor,BU04,credibility,3.5
SYNTHETIC DATA,R00262,HR,3-5 years,Aarhus,Team lead,BU07,credibility,4.142857142857143
SYNTHETIC DATA,R00263,Service,1-3 years,Aarhus,Individual contributor,BU20,credibility,3.5
SYNTHETIC DATA,R00264,Engineering,5-10 years,Chennai,Individual contributor,BU09,credibility,3.5
SYNTHETIC DATA,R00265,Engineering,10+ years,Hamburg,Team lead,BU09,credibility,4.625
SYNTHETIC DATA,R00266,HR,3-5 years,Rostock,Manager,BU09,credibility,4.625
SYNTHETIC DATA,R00267,Engineering,10+ years,Hamburg,Individual contributor,BU17,credibility,4.0
SYNTHETIC DATA,R00269,Engineering,3-5 years,Pune,Individual contributor,BU04,credibility,3.875
SYNTHETIC DATA,R00270,Sales,3-5 years,Hamburg,Individual contributor,BU23,credibility,2.875
SYNTHETIC DATA,R00271,Supply Chain,5-10 years,Aarhus,Individual contributor,BU23,credibility,1.875
SYNTHETIC DATA,R00272,Supply Chain,1-3 years,Remote,Individual contributor,BU11,credibility,3.125
SYNTHETIC DATA,R00273,Engineering,1-3 years,Pune,Team lead,BU15,credibility,3.75
SYNTHETIC DATA,R00274,Sales,1-3 years,Chennai,Individual contributor,BU20,credibility,2.125
SYNTHETIC DATA,R00275,Operations,<1 year,Hamburg,Individual contributor,BU02,credibility,4.375
SYNTHETIC DATA,R00276,Operations,3-5 years,Chennai,Individual contributor,BU08,credibility,4.714285714285714
SYNTHETIC DATA,R00277,Engineering,3-5 years,Rostock,Team lead,BU24,credibility,3.125
SYNTHETIC DATA,R00278,HR,1-3 years,Hamburg,Individual contributor,BU07,credibility,2.5
SYNTHETIC DATA,R00279,Operations,10+ years,Rostock,Individual contributor,BU08,credibility,4.125
SYNTHETIC DATA,R00280,Service,10+ years,Chennai,Individual contributor,BU07,credibility,4.625
SYNTHETIC DATA,R00281,Sales,1-3 years,Hamburg,Manager,BU10,credibility,3.2857142857142856
SYNTHETIC DATA,R00282,Engineering,3-5 years,Aarhus,Individual contributor,BU23,credibility,3.25
SYNTHETIC DATA,R00283,Engineering,1-3 years,Remote,Individual contributor,BU20,credibility,2.25
SYNTHETIC DATA,R00284,Finance,10+ years,Aarhus,Individual contributor,BU23,credibility,4.25
SYNTHETIC DATA,R00285,Engineering,3-5 years,Pune,Individual contributor,BU22,credibility,4.25
SYNTHETIC DATA,R00286,Service,1-3 years,Pune,Individual contributor,BU20,credibility,3.25
SYNTHETIC DATA,R00287,Engineering,<1 year,Hamburg,Individual contributor,BU04,credibility,3.25
SYNTHETIC DATA,R00288,Operations,5-10 years,Pune,Manager,BU15,credibility,2.2857142857142856
SYNTHETIC DATA,R00289,Service,10+ years,Remote,Individual contributor,BU14,credibility,3.75
SYNTHETIC DATA,R00290,Finance,3-5 years,Rostock,Individual contributor,BU11,credibility,3.0
SYNTHETIC DATA,R00291,Supply Chain,1-3 years,Remote,Team lead,BU20,credibility,2.25
