data_label,item,intended_construct,F1,F2,F3,F4,F5,F6,F7,F8
SYNTHETIC DATA,prid_08,pride,-0.003,0.716,-0.001,-0.017,-0.018,0.01,-0.008,-0.004
SYNTHETIC DATA,camr_01,camaraderie,0.031,0.026,0.02,0.062,0.586,-0.005,0.057,-0.057
SYNTHETIC DATA,camr_02,camaraderie,0.067,0.003,0.021,0.04,0.641,0.029,0.02,-0.022
SYNTHETIC DATA,camr_03,camaraderie,0.031,0.023,0.051,0.01,0.607,0.022,0.033,-0.05
SYNTHETIC DATA,camr_04,camaraderie,0.048,0.02,0.018,0.043,0.651,0.029,0.017,-0.003
SYNTHETIC DATA,camr_05,camaraderie,0.017,0.059,0.077,0.009,0.591,-0.01,0.037,-0.041
SYNTHETIC DATA,camr_06,camaraderie,0.028,0.06,0.029,0.038,0.572,0.17,0.026,0.043
SYNTHETIC DATA,camr_07,camaraderie,0.04,0.041,0.004,0.029,0.583,0.026,0.04,-0.075
SYNTHETIC DATA,camr_08,camaraderie,-0.048,0.015,0.007,-0.028,0.53,-0.046,-0.009,0.434
SYNTHETIC DATA,lead_01,leadership,0.555,0.049,0.009,0.044,0.038,0.015,0.046,0.008
SYNTHETIC DATA,lead_02,leadership,0.583,0.031,0.041,0.039,0.045,-0.031,0.062,-0.013
SYNTHETIC DATA,lead_03,leadership,0.566,0.021,0.057,0.054,0.05,0.001,0.022,0.012
SYNTHETIC DATA,lead_04,leadership,0.597,0.078,-0.015,0.028,0.031,0.017,0.024,0.001
SYNTHETIC DATA,lead_05,leadership,0.559,0.028,0.05,0.036,0.037,0.033,0.058,0.014
SYNTHETIC DATA,lead_06,leadership,0.555,0.031,0.038,0.064,0.041,0.013,0.043,0.003
SYNTHETIC DATA,lead_07,leadership,0.423,0.041,-0.01,0.005,-0.002,-0.04,-0.007,0.491
SYNTHETIC DATA,lead_08,leadership,0.593,0.052,0.007,0.042,0.009,0.02,0.077,0.019
SYNTHETIC DATA,devl_01,development,0.013,0.011,0.709,-0.011,-0.025,0.011,0.021,-0.014
SYNTHETIC DATA,devl_02,development,0.005,0.01,0.714,0.028,-0.001,-0.016,-0.002,-0.005
SYNTHETIC DATA,devl_03,development,0.029,-0.023,0.76,-0.008,0.009,0.0,-0.005,0.024
SYNTHETIC DATA,devl_05,development,-0.019,0.022,0.708,0.033,0.006,0.02,-0.009,-0.016
SYNTHETIC DATA,devl_06,development,0.008,0.001,0.752,-0.008,0.001,-0.015,0.008,0.008
SYNTHETIC DATA,devl_07,development,-0.013,0.007,0.691,-0.016,0.043,-0.013,0.017,-0.013
SYNTHETIC DATA,devl_08,development,0.01,0.019,0.715,0.007,-0.006,0.014,0.014,0.004
SYNTHETIC DATA,well_01,wellbeing,0.052,0.038,0.025,0.634,0.034,0.036,0.015,-0.017
SYNTHETIC DATA,well_02,wellbeing,0.023,0.013,0.015,0.601,0.06,0.036,0.059,-0.05
SYNTHETIC DATA,well_03,wellbeing,0.01,0.027,0.035,0.601,0.045,0.017,0.03,-0.06
SYNTHETIC DATA,well_04,wellbeing,0.035,0.045,-0.006,0.624,0.014,0.023,0.052,-0.017
SYNTHETIC DATA,well_05,wellbeing,-0.086,-0.009,0.051,0.527,-0.004,0.028,-0.021,0.46
SYNTHETIC DATA,well_06,wellbeing,0.036,0.044,0.046,0.607,0.041,0.006,-0.006,-0.053
SYNTHETIC DATA,well_07,wellbeing,0.006,0.073,0.031,0.612,0.002,0.033,0.041,-0.041
SYNTHETIC DATA,well_08,wellbeing,0.165,0.013,0.052,0.581,0.039,0.036,0.038,0.057
