data_label,item,construct,n_answered,pct_missing,n_out_of_scale,min,max,mean,sd
SYNTHETIC DATA,prid_02,pride,4910,2.04,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,prid_03,pride,4877,2.69,0,1.0,5.0,3.66,1.1
SYNTHETIC DATA,prid_04,pride,4898,2.27,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,prid_05,pride,4896,2.31,0,1.0,5.0,3.66,1.1
SYNTHETIC DATA,prid_06,pride,4906,2.11,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,prid_07,pride,4886,2.51,0,1.0,5.0,3.67,1.11
SYNTHETIC DATA,prid_08,pride,4893,2.37,0,1.0,5.0,3.66,1.1
SYNTHETIC DATA,camr_01,camaraderie,4874,2.75,0,1.0,5.0,3.66,1.08
SYNTHETIC DATA,camr_02,camaraderie,4890,2.43,0,1.0,5.0,3.66,1.1
SYNTHETIC DATA,camr_03,camaraderie,4864,2.95,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,camr_04,camaraderie,4880,2.63,0,1.0,5.0,3.67,1.1
SYNTHETIC DATA,camr_05,camaraderie,4879,2.65,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,camr_06,camaraderie,4868,2.87,0,1.0,5.0,3.66,1.1
SYNTHETIC DATA,camr_07,camaraderie,4880,2.63,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,camr_08,camaraderie,4880,2.63,0,1.0,5.0,3.65,1.08
SYNTHETIC DATA,lead_01,leadership,4863,2.97,0,1.0,5.0,3.66,1.08
SYNTHETIC DATA,lead_02,leadership,4866,2.91,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,lead_03,leadership,4845,3.33,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,lead_04,leadership,4866,2.91,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,lead_05,leadership,4853,3.17,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,lead_06,leadership,4857,3.09,0,1.0,5.0,3.65,1.08
SYNTHETIC DATA,lead_07,leadership,4852,3.19,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,lead_08,leadership,4851,3.21,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,devl_01,development,4836,3.51,0,1.0,5.0,3.64,1.09
SYNTHETIC DATA,devl_02,development,4846,3.31,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,devl_03,development,4836,3.51,0,1.0,5.0,3.66,1.1
SYNTHETIC DATA,devl_04,development,4853,3.17,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,devl_05,development,4849,3.25,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,devl_06,development,4833,3.57,0,1.0,5.0,3.64,1.1
SYNTHETIC DATA,devl_07,development,4842,3.39,0,1.0,5.0,3.64,1.09
SYNTHETIC DATA,devl_08,development,4842,3.39,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,well_01,wellbeing,4829,3.65,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,well_02,wellbeing,4837,3.49,27,1.0,5.0,3.66,1.09
SYNTHETIC DATA,well_03,wellbeing,4815,3.93,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,well_04,wellbeing,4831,3.61,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,well_05,wellbeing,4810,4.03,0,1.0,5.0,3.66,1.1
SYNTHETIC DATA,well_06,wellbeing,4814,3.95,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,well_07,wellbeing,4802,4.19,0,1.0,5.0,3.66,1.08
SYNTHETIC DATA,well_08,wellbeing,4805,4.13,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,sat_01,satisfaction,4817,3.89,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,sat_02,satisfaction,4813,3.97,0,1.0,5.0,3.66,1.1
SYNTHETIC DATA,sat_03,satisfaction,4822,3.79,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,sat_04,satisfaction,4796,4.31,0,1.0,5.0,3.66,1.08
