respondent_id,business_unit,department,tenure_band,location,role_level,cred_01,cred_02,cred_03,cred_04,cred_05,cred_06,cred_07,cred_08,resp_01,resp_02,resp_03,resp_04,resp_05,resp_06,resp_07,resp_08,fair_01,fair_02,fair_03,fair_04,fair_05,fair_06,fair_07,fair_08,prid_01,prid_02,prid_03,prid_04,prid_05,prid_06,prid_07,prid_08,camr_01,camr_02,camr_03,camr_04,camr_05,camr_06,camr_07,camr_08,lead_01,lead_02,lead_03,lead_04,lead_05,lead_06,lead_07,lead_08,devl_01,devl_02,devl_03,devl_04,devl_05,devl_06,devl_07,devl_08,well_01,well_02,well_03,well_04,well_05,well_06,well_07,well_08,sat_01,sat_02,sat_03,sat_04
R00018,BU11,Service,3-5 years,Remote,Manager,3.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,,3.0,4.0,,3.0,4.0,5.0,4.0,3.0,3.0,4.0,,5.0,3.0,4.0,5.0,4.0,4.0,,4.0,4.0,3.0,3.0,3.0,3.0,4.0
R00019,BU24,Supply Chain,10+ years,Aarhus,Team lead,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,,5.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
R00020,BU19,Operations,5-10 years,Aarhus,Manager,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
R00021,BU10,Operations,10+ years,Hamburg,Individual contributor,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,,2.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0
R00022,BU19,Operations,<1 year,Rostock,Team lead,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,3.0,5.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0
R00023,BU19,Finance,5-10 years,Hamburg,Individual contributor,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,5.0,3.0,3.0,5.0,1.0,3.0,,5.0,4.0,4.0,4.0
R00024,BU20,Service,10+ years,Hamburg,Individual contributor,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,,3.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,4.0,5.0,4.0,3.0,4.0,4.0,4.0,,3.0,4.0,3.0,3.0,,4.0,3.0
R00025,BU15,Engineering,10+ years,Chennai,Manager,4.0,4.0,4.0,4.0,5.0,,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,,5.0,4.0,4.0,2.0,5.0,5.0,2.0,5.0,,5.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
R00026,BU09,Supply Chain,5-10 years,Pune,Individual contributor,3.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0
R00027,BU15,Finance,<1 year,Remote,Team lead,4.0,3.0,2.0,5.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,,4.0,5.0,2.0,4.0,4.0,,4.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0
R00028,BU08,Operations,5-10 years,Chennai,Individual contributor,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,1.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,,3.0,4.0,3.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,,4.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,,4.0,,3.0,4.0,4.0
R00029,BU15,Operations,1-3 years,Remote,Individual contributor,2.0,3.0,2.0,4.0,2.0,5.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0
R00030,BU10,Service,1-3 years,Hamburg,Individual contributor,,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,5.0,,4.0,5.0,4.0,5.0,4.0,5.0,5.0
R00031,BU11,Engineering,5-10 years,Pune,Individual contributor,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,3.0,4.0,5.0,4.0,4.0
R00032,BU20,Operations,5-10 years,Hamburg,Individual contributor,5.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,3.0,5.0,2.0,1.0,2.0,3.0,4.0,4.0,
R00033,BU01,Service,5-10 years,Aarhus,Senior manager,1.0,2.0,4.0,5.0,2.0,2.0,3.0,5.0,4.0,5.0,,3.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0
R00034,BU24,Service,1-3 years,Pune,Individual contributor,4.0,5.0,2.0,5.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,,4.0,2.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,
R00035,BU19,Supply Chain,3-5 years,Remote,Team lead,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
R00036,BU18,Engineering,10+ years,Aarhus,Manager,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0
R00037,BU18,Finance,<1 year,Remote,Manager,3.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,5.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,,3.0,4.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
R00038,BU09,Operations,10+ years,Aarhus,Individual contributor,5.0,5.0,5.0,2.0,4.0,4.0,5.0,,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0
R00039,BU03,Finance,10+ years,Pune,Individual contributor,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,,3.0,1.0,2.0,,5.0,2.0,1.0,2.0,2.0,,2.0,2.0
R00040,BU08,Engineering,10+ years,Pune,Individual contributor,3.0,4.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0
R00041,BU18,Sales,1-3 years,Pune,Individual contributor,4.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0
R00042,BU20,Service,3-5 years,Pune,Individual contributor,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0
R00043,BU24,Engineering,3-5 years,Hamburg,Individual contributor,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0
R00044,BU01,HR,<1 year,Chennai,Team lead,4.0,5.0,3.0,2.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,,4.0,4.0,4.0
